Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Bone,0,1.798,0.021,0.027,0.003,0.129,0.001
Soppeng,0,1.715,0.014,0.047,0.002,0.064,0.002
Wajo,0,1.493,0.042,0.08,0.005,0.081,0.005
Sidenreng Rappang,0,1.644,0.014,0.039,0.003,0.048,0
Pinrang,0,1.55,0.004,0.078,0.007,0.056,0.002
Enrekang,0,1.692,0.007,0.034,0.008,0.078,0.001
Luwu,0,1.909,0.007,0.062,0.013,0.069,0.001
Tana Toraja,0,1.989,0.004,0.019,0.006,0.016,-
Luwu Utara,0,1.775,0.009,0.073,0.009,0.059,0
Luwu Timur,0,1.899,0.009,0.042,0.006,0.06,0.006
Toraja Utara,0,2.047,0.006,0.024,0.001,0.025,0
Kota Makasar,0,1.714,0.006,0.042,0.003,0.082,0.001
Kota Parepare,0,1.63,0.001,0.097,0.007,0.05,0.006
Kota Palopo,0,1.425,0.004,0.101,0.005,0.061,0
Buton,0,1.825,0.017,0.051,0.037,0.023,0
Muna,0,1.964,0.004,0.037,0.087,0.022,0.003
Konawe,0,1.8,0,0.024,0.001,0.045,0.002
Kolaka,0,1.676,0.004,0.03,0.004,0.076,0.001
Konawe Selatan,0,1.783,0,0.061,0.003,0.05,0
Bombana,0,1.878,0.005,0.043,0.006,0.062,0.003
Wakatobi,0,1.962,0.004,0.006,0.007,0.017,0
Kolaka Utara,0,1.8,0.014,0.113,0.004,0.071,0.001
Buton Utara,0,2.027,0.011,0.063,0.007,0.028,0.001
Konawe Utara,0,1.773,0.005,0.064,0.003,0.051,0.003
Kolaka Timur,0,1.886,0.001,0.035,0.002,0.056,0
Konawe Kepulauan,0,1.615,0.002,0.029,0.004,0.056,0.001
Muna Barat,0,2.066,0,0.037,0.103,0.035,0
Buton Tengah,0,1.818,0.003,0.017,0.044,0.029,0.005
Buton Selatan,0,1.766,0,0.027,0.144,0.019,0.006
Kota Kendari,0,1.515,0.001,0.028,0.009,0.046,0.004
Kota Baubau,0,1.695,0.001,0.013,0.017,0.019,0.003
Boalemo,0,1.712,0.003,0.061,0.149,0.039,-
Gorontalo,0,1.814,0.002,0.048,0.073,0.024,-
Pohuwato,0,1.753,0.001,0.044,0.041,0.026,0.001
Bone Bolango,0,1.64,0,0.044,0.051,0.023,0
Gorontalo Utara,0,1.716,0.001,0.04,0.043,0.022,0
Kota Gorontalo,0,1.527,-,0.034,0.023,0.039,0
Majene,0,1.837,0.003,0.017,0,0.081,0.002
Polewali Mandar,0,2.079,0.009,0.034,0.005,0.093,0.002
Mamasa,0,2.26,0.007,0.006,0.002,0.04,-
Mamuju,0,1.856,0.005,0.053,0.005,0.068,0
Mamuju Utara,0,1.682,0.005,0.074,0.011,0.121,-
Mamuju Tengah,0,1.824,0.008,0.048,0.002,0.089,0.002
Maluku Tenggara Barat,0,1.616,0.002,0.035,0.024,0.022,0.004
Maluku Tenggara,0,1.599,0.003,-,0.002,0.039,0.001
Maluku Tengah,0,1.637,0.003,0.004,-,0.036,-
Buru,0,1.54,0,0.01,0.003,0.059,0.003
Kepulauan Aru,0,1.373,-,0,0.001,0.018,-
Seram Bagian Barat,0,1.306,0.002,0.011,0.001,0.052,-
Seram Bagian Timur,0,1.259,0.001,0.001,0.001,0.066,-
Maluku Barat Daya,0,1.461,-,0.01,0.526,0.029,-
Buru Selatan,0,1.493,0,0.002,-,0.032,-
Kota Ambon,0,1.517,0.003,0.022,0.004,0.055,0.002
Kota Tual,0,1.683,0.002,0.003,0.002,0.034,0.002
Halmahera Barat,0,1.583,0.001,0.014,0.002,0.038,0
Halmahera Tengah,0,1.327,0.003,0.018,0,0.062,-
Kepulauan Sula,0,1.7,0.006,0.008,0.001,0.046,0
Halmahera Selatan,0,1.571,0.001,0.006,0.001,0.041,-
Halmahera Utara,0,1.484,0,0.024,0.001,0.07,0.001
Halmahera Timur,0,1.468,0.001,0.024,0.003,0.06,-
Pulau Morotai,0,1.522,0.006,0.057,0.001,0.045,-
Pulau Taliabu,0,1.832,0.001,0.004,0,0.021,0
Kota Ternate,0,1.564,0.004,0.008,-,0.01,0
Kota Tidore Kepulauan,0,1.413,-,0.009,0,0.027,-
Fakfak,0,1.628,0.003,0.019,0.004,0.08,0
Kaimana,0,1.356,0,0.01,0.004,0.045,0.001
Teluk Wondama,0,1.215,0.001,0.005,-,0.047,-
Teluk Bintuni,0,1.548,0.001,0.009,0.001,0.039,-
Manokwari,0,1.557,0.001,0.012,0.001,0.043,0.001
Manokwari Selatan,0,1.364,-,0.009,0.002,0.066,-
Pegunungan Arfak,0,1.329,0.002,0.029,0.001,0.008,-
Raja Ampat,0,1.544,0.006,0.006,0.001,0.092,-
Sorong,0,1.411,0,0.026,0.002,0.059,0.006
Sorong Selatan,0,0.768,-,0.002,0,0.014,-
Maybrat,0,1.436,0.006,0.03,0.003,0.008,-
Tambrauw,0,1.406,-,0.008,0.002,0.023,-
Kota Sorong,0,1.466,0.005,0.017,0.001,0.062,-
Jayapura,0,1.3,-,0.025,0.002,0.047,-
Kepulauan Yapen,0,1.206,-,0.005,-,0.026,-
Biak Numfor,0,1.285,-,0.01,0.001,0.015,-
Sarmi,0,1.396,-,0.005,-,0.017,-
Keerom,0,1.287,0.001,0.013,0.01,0.026,-
Waropen,0,1.324,-,0.001,0.001,0.075,-
Supiori,0,1.889,0,0.003,0.002,0.088,-
Mamberamo Raya,0,0.892,-,0,-,-,-
Kota Jayapura,0,1.362,0.001,0.004,0.006,0.026,0
Merauke,0,1.431,0.001,0.019,0.005,0.059,0.001
Boven Digoel,0,1.206,0.003,0.01,-,0.009,0.003
Mappi,0,1.1,0.001,0.006,-,0.004,-
Asmat,0,1.022,-,0.001,-,0.003,-
Mimika,0,1.357,0.003,0.009,0,0.05,0
Dogiyai,0,0.862,-,0.026,0.004,-,-
Deiyai,0,0.944,-,-,-,-,-
Nabire,0,1.467,-,0.018,0,0.051,-
Paniai,0,0.941,-,-,-,-,-
Intan Jaya,0,0.768,-,-,-,-,-
Puncak,0,0.174,-,0,-,-,-
Puncak Jaya,0,0.707,0.252,-,-,0.001,-
Nduga,0,0.576,0,0.066,0,-,-
Jayawijaya,0,1.103,0.004,0.044,0,0.004,-
Lanny Jaya,0,1.392,0,0.255,0,-,-
Tolikara,0,1.534,-,0.082,-,-,-
Mamberamo Tengah,0,0.429,-,0.307,0.003,0.001,-
Yalimo,0,0.797,0.015,0.259,0.005,0.003,0
Yahukimo,0,0.281,-,0.075,0,-,-
Pegunungan Bintang,0,0.532,-,0.062,0.003,0.001,-
