Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
,2024,2024,2024,2024,2024,2024,2024
Simeulue,0,1.806,0.006,0.006,-,0.007,-
Aceh Singkil,0,1.787,0.004,0.019,0.004,0.028,0
Aceh Selatan,0,1.791,0.005,0.021,0.001,0.022,-
Aceh Tenggara,0,1.765,0.007,0.019,-,0.021,0.001
Aceh Timur,0,1.666,0.004,0.02,0.001,0.022,-
Aceh Tengah,0,1.756,0.005,0.01,-,0.042,-
Aceh Barat,0,1.586,0.019,0.038,0.003,0.017,0.001
Aceh Besar,0,1.566,0.004,0.028,0.001,0.019,0.001
Pidie,0,1.836,0.013,0.006,0,0.015,0.001
Bireuen,0,1.553,0.012,0.028,0,0.019,0.001
Aceh Utara,0,1.458,0.016,0.02,0.001,0.023,-
Aceh Barat Daya,0,1.75,0.005,0.013,0,0.021,0
Gayo Lues,0,2.407,0.044,0.042,0.017,0.013,0
Aceh Tamiang,0,1.435,0.005,0.015,0.003,0.03,-
Nagan Raya,0,1.543,0.017,0.06,0.004,0.077,0.002
Aceh Jaya,0,1.784,0.009,0.031,0,0.013,0.005
Bener Meriah,0,1.868,0.023,0.008,0.001,0.057,0
Pidie Jaya,0,1.807,0.008,0.012,0.001,0.025,-
Kota Banda Aceh,0,1.122,0.001,0.039,0,0.022,0.002
Kota Sabang,0,1.491,0.006,0.01,-,0.023,-
Kota Langsa,0,1.285,-,0.019,0,0.014,0
Kota Lhokseumawe,0,1.379,0.003,0.015,0,0.016,0
Kota Subulussalam,0,1.67,0.002,0.02,-,0.021,-
Nias,0,2.296,0.001,0.002,-,0.007,0.002
Mandailing Natal,0,2.097,0.001,0.002,-,0.008,-
Tapanuli Selatan,0,2.007,0.001,0.004,-,0.012,-
Tapanuli Tengah,0,1.92,0.008,0.004,0.01,0.008,0
Tapanuli Utara,0,1.997,0.004,0.007,-,0.014,-
Toba Samosir,0,1.956,0,0.011,0.001,0.012,-
Labuhan Batu,0,1.771,-,0.014,0,0.018,0.002
Asahan,0,1.467,0.002,0.016,0.001,0.038,0.003
Simalungun,0,1.581,0.003,0.027,0.008,0.027,0
Dairi,0,1.951,0.003,0.009,0.002,0.009,0
Karo,0,1.998,0,0.01,-,0.01,-
Deli Serdang,0,1.528,0.003,0.018,0.003,0.028,0
Langkat,0,1.554,0.006,0.016,0.006,0.037,0
Nias Selatan,0,2.331,0.002,0,-,0.008,-
Humbang Hasundutan,0,2.161,0,0.011,0.001,0.016,-
Pakpak Bharat,0,2.046,0.004,0.006,0.001,0.013,-
Samosir,0,2.082,0.003,0.012,-,0.011,-
Serdang Bedagai,0,1.532,0.004,0.011,0.001,0.018,0.002
Batu Bara,0,1.495,0.007,0.022,0.003,0.027,0.001
Padang Lawas Utara,0,2.169,0,0.01,0.002,0.016,-
Padang Lawas,0,2,0.003,0.006,-,0.012,-
Labuhan Batu Selatan,0,1.78,0,0.003,0.002,0.03,-
Labuhan Batu Utara,0,1.711,0.001,0.002,0.002,0.023,0
Nias Utara,0,2.368,0.005,0.004,-,0.015,-
Nias Barat,0,2.288,0.002,-,-,0.009,0
Kota Sibolga,0,1.468,0,0.005,-,0.005,0
Kota Tanjung Balai,0,1.457,0.002,0.029,0.004,0.027,0
Kota Pematang Siantar,0,1.491,0.001,0.038,0.001,0.016,0.001
Kota Tebing Tinggi,0,1.417,0.003,0.032,0.004,0.026,0.004
Kota Medan,0,1.312,0.005,0.033,0.001,0.021,0
Kota Binjai,0,1.383,0.003,0.023,0.001,0.04,0
Kota Padangsidimpuan,0,1.673,0.003,0.008,-,0.005,0.001
Kota Gunungsitoli,0,1.802,-,0.002,-,0.012,-
Kepulauan Mentawai,0,1.293,0.011,0.003,-,0.037,0.002
Pesisir Selatan,0,1.68,0.006,0.006,-,0.008,0
Solok,0,1.819,0.001,0.002,-,0.019,-
Sijunjung,0,1.702,0.011,0.008,0.002,0.008,0
Tanah Datar,0,1.577,0.003,0.007,0,0.01,0.001
Padang Pariaman,0,1.402,0.001,0.003,0.001,0.013,0.002
Agam,0,1.493,0.002,0.009,0,0.019,0.001
Lima Puluh Kota,0,1.801,0.005,0.008,0.002,0.004,0
Pasaman,0,1.888,0.002,0.015,-,0.013,0.002
Solok Selatan,0,1.777,0.014,0.026,0.001,0.029,0.001
Dharmasraya,0,1.386,0.038,0.018,0,0.03,0.001
