Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
Pasaman Barat,0,1.842,0,0.005,0.001,0.015,0
Kota Padang,0,1.243,0.003,0.016,0,0.019,0
Kota Solok,0,1.378,0.002,0.015,0.003,0.023,0
Kota Sawah Lunto,0,1.401,0.007,0.024,0,0.031,0.002
Kota Padang Panjang,0,1.233,0.002,0.005,0.001,0.025,0
Kota Bukittinggi,0,1.315,0.001,0.015,0.003,0.016,0.001
Kota Payakumbuh,0,1.287,0.006,0.006,-,0.016,0
Kota Pariaman,0,1.201,0.001,0.011,0.001,0.017,0
Kuantan Singingi,0,1.37,0.006,0.029,0.001,0.051,0
Indragiri Hulu,0,1.37,0.001,0.015,0.002,0.047,0.001
Indragiri Hilir,0,1.415,0.008,0.01,0.002,0.091,0.001
Pelalawan,0,1.602,0.002,0.02,0.003,0.055,0
Siak,0,1.44,0.002,0.029,0.005,0.061,0.001
Kampar,0,1.315,0.003,0.018,0,0.03,0
Rokan Hulu,0,1.788,0.009,0.011,0.002,0.032,-
Bengkalis,0,1.447,0.003,0.02,0,0.06,0
Rokan Hilir,0,1.519,0.002,0.014,0.004,0.043,0.001
Kepulauan Meranti,0,1.459,0.004,0.015,0.001,0.089,0
Kota Pekanbaru,0,1.122,0.008,0.019,0,0.022,0.002
Kota Dumai,0,1.52,0.002,0.024,0.002,0.035,0.002
Kerinci,0,1.738,0.005,0.061,0.003,0.021,0.001
Merangin,0,1.545,0.038,0.015,-,0.028,-
Sarolangun,0,1.611,0.032,0.017,-,0.045,-
Batang Hari,0,1.388,0.005,0.014,0,0.095,0
Muaro Jambi,0,1.403,0.006,0.012,0.002,0.121,0.001
Tanjung Jabung Timur,0,1.44,0.01,0.023,0.001,0.112,0
Tanjung Jabung Barat,0,1.295,0.005,0.026,0.002,0.119,0.001
Tebo,0,1.636,0.009,0.014,0,0.072,0
Bungo,0,1.419,0.021,0.022,0.003,0.04,-
Kota Jambi,0,1.023,0.004,0.029,0.001,0.08,0.001
Kota Sungai Penuh,0,1.541,0.003,0.035,-,0.022,0.001
Ogan Komering Ulu,0,1.637,0.004,0.01,0.003,0.083,0.002
Ogan Komering Ilir,0,1.686,0.012,0.053,0.002,0.137,-
Muara Enim,0,1.568,0.024,0.039,0,0.126,0.001
Lahat,0,1.85,0.009,0.034,0.001,0.091,0
Musi Rawas,0,1.707,0.003,0.032,0.009,0.095,0.001
Musi Banyuasin,0,1.532,0.01,0.035,-,0.12,0.002
Banyu Asin,0,1.628,0.015,0.033,0.002,0.147,0.004
Ogan Komering Ulu Selatan,0,1.804,0.002,0.015,0.002,0.039,0
Ogan Komering Ulu Timur,0,1.632,0.007,0.063,0.002,0.096,0.001
Ogan Ilir,0,1.43,0.018,0.067,0.001,0.178,0.002
Empat Lawang,0,1.921,0.007,0.057,0.004,0.081,0
Penukal Abab Lematang Ilir,0,1.81,0.021,0.013,0.002,0.174,0.001
Musi Rawas Utara,0,1.686,0.012,0.019,0.001,0.069,0
Kota Palembang,0,1.254,0.007,0.035,0.003,0.117,0.001
Kota Prabumulih,0,1.219,0.003,0.026,0.001,0.1,0
Kota Pagar Alam,0,1.7,0.004,0.045,0.001,0.08,0
Kota Lubuklinggau,0,1.467,0.008,0.041,0.001,0.087,0
Bengkulu Selatan,0,1.786,0.006,0.042,0.001,0.035,-
Rejang Lebong,0,1.717,0.003,0.042,0.003,0.064,0
Bengkulu Utara,0,1.756,0.002,0.044,0.001,0.063,0.001
Kaur,0,1.798,0.015,0.04,0,0.055,0.001
Seluma,0,1.674,0.002,0.058,0,0.042,0.001
Mukomuko,0,1.62,0.002,0.024,0.004,0.026,-
Lebong,0,1.918,0.012,0.063,0.001,0.042,0.001
Kepahiang,0,1.843,0.005,0.107,0.005,0.049,0.001
Bengkulu Tengah,0,1.824,0,0.085,0.001,0.048,0
Kota Bengkulu,0,1.291,0.001,0.084,0.003,0.043,0.002
Lampung Barat,0,1.839,0.007,0.041,0.005,0.088,0.001
Tanggamus,0,1.657,0.004,0.023,-,0.09,0.001
Lampung Selatan,0,1.519,0.005,0.032,0.001,0.062,-
Lampung Timur,0,1.583,0.006,0.027,0,0.064,0
Lampung Tengah,0,1.552,0.007,0.067,0.001,0.077,0.002
Lampung Utara,0,1.535,0.001,0.043,0.002,0.082,0
Way Kanan,0,1.672,0.002,0.086,0.002,0.077,-
Tulangbawang,0,1.594,0.002,0.055,0.01,0.061,0
Pesawaran,0,1.607,0.001,0.057,0.002,0.098,0.001
Pringsewu,0,1.548,0.003,0.031,0.001,0.083,0.001
Mesuji,0,1.669,0.003,0.038,0,0.069,-
Tulang Bawang Barat,0,1.542,0,0.125,0.002,0.058,0.001
Pesisir Barat,0,1.884,0.006,0.038,0.001,0.056,0
Kota Bandar Lampung,0,1.223,0.004,0.037,0.001,0.047,0.001
Kota Metro,0,1.222,0,0.039,0.001,0.044,0.001
Bangka,0,1.414,0.003,0.024,0.001,0.097,-
Belitung,0,1.314,0.003,0.01,-,0.064,-
Bangka Barat,0,1.32,0.005,0.022,0.001,0.074,-
Bangka Tengah,0,1.438,0.019,0.024,0.008,0.062,-
Bangka Selatan,0,1.628,0.004,0.002,-,0.045,-
Belitung Timur,0,1.478,0.001,0.02,0.001,0.07,-
Kota Pangkal Pinang,0,1.193,0.005,0.037,0.003,0.069,0
Karimun,0,1.255,0.005,0.024,0.002,0.069,0.001
Bintan,0,1.242,0.002,0.02,0,0.072,0.001
Natuna,0,1.283,0.003,0.015,-,0.095,0.004
Lingga,0,1.465,0.002,0.005,0.001,0.105,-
Kepulauan Anambas,0,1.102,0.002,0.001,0.001,0.089,0
Kota Batam,0,1.208,0.003,0.024,0.001,0.061,0.004
Kota Tanjung Pinang,0,1.117,0.004,0.025,0.001,0.044,0.004
Kep. Seribu,0,1.58,0,0.01,-,0.024,-
Kota Jakarta Selatan,0,1.261,0,0.046,0.003,0.055,0
Kota Jakarta Timur,0,1.25,0.001,0.028,0.002,0.05,0.002
Kota Jakarta Pusat,0,1.21,0.001,0.019,0.001,0.026,0.001
Kota Jakarta Barat,0,1.313,0.004,0.036,0.003,0.036,0.001
Kota Jakarta Utara,0,1.301,0.002,0.023,0.004,0.056,0.001
Bogor,0,1.494,0.004,0.023,0.001,0.067,0.001
Sukabumi,0,1.851,0.015,0.072,0.004,0.076,0.001
Cianjur,0,1.815,0.012,0.115,0.005,0.081,0
Bandung,0,1.399,0.002,0.042,0.006,0.05,0.001
Garut,0,1.565,0.008,0.074,0.003,0.076,0
Tasikmalaya,0,1.678,0.007,0.027,0.001,0.072,0
Ciamis,0,1.704,0.014,0.042,0.003,0.104,0
Kuningan,0,1.435,0.007,0.03,0.003,0.09,0.001
Cirebon,0,1.382,0.001,0.018,0.005,0.032,0
Majalengka,0,1.566,0.003,0.024,-,0.06,0.003
Sumedang,0,1.646,0.012,0.077,0.004,0.057,0
Indramayu,0,1.657,0.001,0.013,0,0.021,-
Subang,0,1.769,0.007,0.013,0.001,0.026,-
Purwakarta,0,1.686,0.005,0.048,0.001,0.056,0
Karawang,0,1.633,0,0.008,0,0.021,-
Bekasi,0,1.451,0,0.011,0,0.037,0
Bandung Barat,0,1.503,0.003,0.114,0.007,0.066,0
Pangandaran,0,1.85,0.005,0.029,0,0.134,0
Kota Bogor,0,1.352,0.002,0.043,0,0.052,0
Kota Sukabumi,0,1.452,0.002,0.053,0.004,0.046,0.001
Kota Bandung,0,1.209,0.001,0.018,0.006,0.048,0.001
Kota Cirebon,0,1.228,0.003,0.014,0.003,0.036,0.001
Kota Bekasi,0,1.327,0.002,0.038,0.002,0.049,0
Kota Depok,0,1.284,0.002,0.044,0.002,0.066,0.001
Kota Cimahi,0,1.163,0.003,0.034,0.007,0.065,0.001
Kota Tasikmalaya,0,1.713,0.007,0.016,0,0.075,0.002
Kota Banjar,0,1.807,0.006,0.015,0.004,0.083,0.002
Cilacap,0,1.539,0.002,0.025,0.001,0.069,0
Banyumas,0,1.468,0.001,0.044,0.003,0.085,0.006
Purbalingga,0,1.219,0.001,0.041,0.018,0.072,0.013
Banjarnegara,0,1.274,0.007,0.007,0.033,0.093,0.003
Kebumen,0,1.376,0.001,0.05,0.002,0.085,0.004
Purworejo,0,1.366,0.002,0.022,0,0.085,0.001
Wonosobo,0,1.201,0.015,0.025,0.048,0.072,0.007
Magelang,0,1.178,0.002,0.024,0.004,0.084,0.001
Boyolali,0,1.201,0.003,0.009,0.003,0.085,0
Klaten,0,1.225,0.003,0.016,0.001,0.07,0.002
Sukoharjo,0,1.257,0.004,0.019,0.001,0.06,0.001
Wonogiri,0,1.455,0.008,0.052,0.004,0.078,0.013
Karanganyar,0,1.442,0.003,0.01,0.001,0.087,0.002
Sragen,0,1.43,0.003,0.012,0,0.069,0
Grobogan,0,1.435,0.002,0.021,0.002,0.081,0.004
Blora,0,1.411,0.001,0.034,0.009,0.037,0.005
Rembang,0,1.545,0.019,0.057,0.008,0.047,0.001
Pati,0,1.484,0.001,0.03,0.002,0.053,0.006
Kudus,0,1.203,0.001,0.019,0.003,0.048,0.005
Jepara,0,1.416,0.001,0.014,-,0.04,0.002
Demak,0,1.39,0.002,0.009,0,0.03,0
Semarang,0,1.209,0.002,0.019,0.002,0.087,0.004
Temanggung,0,1.248,0.009,0.009,0.024,0.07,0.001
Kendal,0,1.46,0.001,0.028,0.009,0.067,0.001
Batang,0,1.39,0.002,0.008,0.003,0.057,0.002
Pekalongan,0,1.352,0,0.008,0.004,0.042,0.008
Pemalang,0,1.4,0.006,0.033,0.014,0.051,0.008
Tegal,0,1.397,0.001,0.013,0.001,0.042,0.002
Brebes,0,1.437,0.001,0.016,0,0.052,0.001
Kota Magelang,0,1.037,-,0.016,0.004,0.037,0.001
Kota Surakarta,0,1.169,0.001,0.014,0.002,0.042,0.002
Kota Salatiga,0,1.119,0,0.034,0.001,0.048,0.008
Kota Semarang,0,1.14,0.002,0.026,0.002,0.041,0.003
Kota Pekalongan,0,1.207,0.001,0.01,0,0.035,0.003
Kota Tegal,0,1.22,0,0.008,0.001,0.024,0.001
Kulon Progo,0,1.304,0.002,0.02,0.001,0.08,0.001
Bantul,0,1.155,0,0.024,0.001,0.047,0
Gunung Kidul,0,1.452,0.004,0.052,0.009,0.068,0.001
Sleman,0,1.114,0.001,0.039,0.001,0.063,0.003
Kota Yogyakarta,0,1.001,0.001,0.024,0.001,0.027,0.004
Pacitan,0,1.513,0.005,0.05,0.001,0.059,0
Ponorogo,0,1.456,0.003,0.033,0.003,0.057,0.011
Trenggalek,0,1.496,0.001,0.025,0.002,0.026,0.002
Tulungagung,0,1.388,-,0.021,0.003,0.028,0.003
Blitar,0,1.303,0.003,0.035,0.011,0.022,0.004
Kediri,0,1.406,0.008,0.047,0.018,0.038,0.004
Malang,0,1.294,0.003,0.053,0.033,0.042,0.001
Lumajang,0,1.688,0.004,0.082,0.089,0.06,0.001
Jember,0,1.602,0.001,0.123,0.032,0.057,0.003
Banyuwangi,0,1.519,0.005,0.138,0.018,0.036,0.001
Bondowoso,0,1.591,0.003,0.103,0.036,0.05,0.001
Situbondo,0,1.559,0.004,0.073,0.06,0.034,0.001
Probolinggo,0,1.677,0.002,0.045,0.071,0.03,0.003
Pasuruan,0,1.485,0.001,0.067,0.039,0.041,0.001
Sidoarjo,0,1.296,0.001,0.097,0.005,0.036,0.002
Mojokerto,0,1.376,0.002,0.127,0.014,0.048,0.002
Jombang,0,1.28,0.001,0.065,0.008,0.022,0.002
Nganjuk,0,1.601,0.002,0.086,0.013,0.05,0.002
Madiun,0,1.451,0.002,0.061,0.002,0.071,0.001
Magetan,0,1.371,0.002,0.042,0.002,0.063,0.001
Ngawi,0,1.798,0.003,0.029,0.002,0.089,0.002
Bojonegoro,0,1.612,0.001,0.066,0.006,0.069,0.018
Tuban,0,1.496,0.017,0.121,0.015,0.054,0.012
Lamongan,0,1.552,0.008,0.082,0.016,0.054,0.001
Gresik,0,1.291,0.003,0.066,0.004,0.051,0.001
Bangkalan,0,1.635,0.003,0.023,0.148,0.026,0
Sampang,0,1.891,-,0.007,0.143,0.005,-
Pamekasan,0,1.456,0.003,0.026,0.162,0.02,0
Sumenep,0,1.567,0.008,0.053,0.261,0.056,0
Kota Kediri,0,1.21,0,0.055,0.003,0.014,0.002
Kota Blitar,0,1.052,0.002,0.032,0.002,0.019,0.002
Kota Malang,0,1.133,0.002,0.034,0.007,0.046,0.004
Kota Probolinggo,0,1.516,0,0.049,0.039,0.017,0.008
Kota Pasuruan,0,1.311,0.003,0.044,0.007,0.041,0.002
Kota Mojokerto,0,1.251,0,0.097,0.009,0.027,0.001
Kota Madiun,0,1.105,0.001,0.046,0.004,0.053,0.005
Kota Surabaya,0,1.326,0.004,0.072,0.006,0.038,0.004
Kota Batu,0,1.11,0.002,0.041,0.009,0.043,0
Pandeglang,0,1.988,0.004,0.011,0,0.044,-
Lebak,0,2.07,0.012,0.014,0.001,0.08,-
Tangerang,0,1.593,0.003,0.022,0.002,0.061,0
Serang,0,1.627,0.009,0.018,0,0.057,0.014
Kota Tangerang,0,1.361,0.005,0.047,0.002,0.051,0.001
Kota Cilegon,0,1.292,0.009,0.044,0.002,0.074,0.001
Kota Serang,0,1.507,0.002,0.037,0.003,0.044,0.001
Kota Tangerang Selatan,0,1.366,0.005,0.04,0.003,0.065,0.001
Jembrana,0,1.949,0.004,0.049,0.007,0.007,0
Tabanan,0,1.812,0.003,0.03,0.003,0.006,0
Badung,0,1.635,0.005,0.089,0.005,0.012,-
Gianyar,0,1.953,0.01,0.022,0,0.006,0
Klungkung,0,1.878,0,0.042,0.055,0.001,0
Bangli,0,1.921,0.018,0.036,0.003,0.007,0.003
Karangasem,0,1.985,0.019,0.027,0.005,0.003,0.001
Buleleng,0,2.038,0.007,0.043,0.02,0.008,0
Kota Denpasar,0,1.472,0,0.071,0.005,0.006,0
Lombok Barat,0,1.805,0.003,0.099,0.004,0.011,0
Lombok Tengah,0,1.908,0.007,0.132,0.002,0.015,0.002
Lombok Timur,0,2.276,0.007,0.092,0.007,0.021,0.001
Sumbawa,0,1.806,0.003,0.099,0.005,0.04,0.001
Dompu,0,2.047,0.006,0.054,0,0.009,-
Bima,0,1.872,0.004,0.144,0.006,0.014,0.001
Sumbawa Barat,0,2.021,0.005,0.12,0.008,0.039,0.001
Lombok Utara,0,2.032,0.018,0.083,0.007,0.015,0.001
Kota Mataram,0,1.555,0.002,0.075,0.002,0.019,0.001
Kota Bima,0,1.738,0.006,0.094,0.001,0.008,0.004
Sumba Barat,0,2.085,0,0.182,0.073,0.004,-
Sumba Timur,0,2.295,0.001,0.131,0.227,0.011,-
Kupang,0,1.948,0.007,0.169,0.081,0.02,0
Timor Tengah Selatan,0,1.911,-,0.059,0.218,0.052,-
Timor Tengah Utara,0,2.067,0,0.128,0.055,0.017,0
Belu,0,2.011,0.002,0.129,0.1,0.017,-
Alor,0,1.507,0.001,0.224,0.152,0.047,0.007
Lembata,0,1.608,0,0.111,0.144,0.034,0
Flores Timur,0,2.365,0.004,0.155,0.136,0.039,0.005
Sikka,0,1.862,0,0.069,0.077,0.012,0.01
Ende,0,2.14,-,0.182,0.023,0.014,0.001
Ngada,0,2.202,0.008,0.244,0.157,0.013,0.008
Manggarai,0,2.388,0.001,0.118,0.094,0.009,-
Rote Ndao,0,2.053,-,0.029,0.006,0.01,-
Manggarai Barat,0,2.313,0.004,0.115,0.051,0.041,0.002
Sumba Tengah,0,2.25,0.029,0.255,0.163,0.006,-
Sumba Barat Daya,0,1.896,0,0.075,0.373,0.008,-
Nagekeo,0,1.837,0.002,0.062,0.135,0.003,0.002
Manggarai Timur,0,2.654,0.002,0.18,0.068,0.01,-
Sabu Raijua,0,2.16,0.001,0.017,0.008,0.007,0.004
Malaka,0,2.167,0.001,0.023,0.089,0.01,0.001
Kota Kupang,0,1.738,0.006,0.086,0.018,0.022,0
Sambas,0,1.519,0.012,0.017,0.002,0.055,0
Bengkayang,0,1.814,0.003,0.018,-,0.04,0.001
Landak,0,1.992,0.014,0.01,0.002,0.018,-
Mempawah,0,1.51,0,0.012,0.009,0.035,0
Sanggau,0,1.605,0.003,0.005,0.001,0.018,0
Ketapang,0,1.634,0.014,0.009,0.001,0.019,-
Sintang,0,1.899,0.007,0.015,0,0.021,0
Kapuas Hulu,0,1.6,0.016,0.033,0.001,0.038,-
Sekadau,0,1.754,0.024,0.004,0,0.04,-
Melawi,0,1.663,0.003,0.011,-,0.019,0.001
Kayong Utara,0,1.647,0.005,0.006,0,0.049,0
Kubu Raya,0,1.478,0.005,0.012,0.016,0.055,0.001
Kota Pontianak,0,1.218,0.001,0.036,0.01,0.04,0.002
Kota Singkawang,0,1.336,0.002,0.025,0,0.041,0.003
Kotawaringin Barat,0,1.505,0.002,0.018,0.004,0.057,0.003
Kotawaringin Timur,0,1.582,0.001,0.029,0.001,0.046,0
Kapuas,0,1.578,0.001,0.025,0.003,0.075,0.001
Barito Selatan,0,1.61,-,0.016,0,0.073,0.003
Barito Utara,0,1.412,0.004,0.02,-,0.043,-
Sukamara,0,1.507,0.015,0.008,0.002,0.056,0.002
Lamandau,0,1.529,0.002,0.017,0.002,0.055,-
Seruyan,0,1.467,0.003,0.022,0.001,0.041,0
Katingan,0,1.464,0.004,0.011,0,0.033,-
Pulang Pisau,0,1.631,0.004,0.038,0.001,0.069,0
Gunung Mas,0,1.623,0.004,0.02,0,0.021,0
Barito Timur,0,1.521,0.002,0.01,0.001,0.099,0
Murung Raya,0,1.654,0.001,0.007,0,0.039,-
Kota Palangka Raya,0,1.21,0.002,0.024,0.003,0.044,0.001
Tanah Laut,0,1.532,0.002,0.043,0.001,0.058,0.001
Kota Baru,0,1.539,0.005,0.039,0.002,0.096,0.001
Banjar,0,1.545,0.002,0.071,0.003,0.075,0
Barito Kuala,0,1.745,0.001,0.042,0.003,0.064,-
Tapin,0,1.459,0.002,0.066,0.002,0.063,0
Hulu Sungai Selatan,0,1.568,0.001,0.039,0.002,0.045,0
Hulu Sungai Tengah,0,1.597,0.001,0.083,0.001,0.057,0.001
Hulu Sungai Utara,0,1.528,0.002,0.045,0.001,0.075,0.002
Tabalong,0,1.298,0.001,0.04,0.001,0.096,0.006
Tanah Bumbu,0,1.272,0.006,0.025,0.008,0.055,0.001
Balangan,0,1.487,0.003,0.035,0.005,0.086,0.001
Kota Banjarmasin,0,1.315,0.001,0.038,0.003,0.038,0
Kota Banjar Baru,0,1.174,0.001,0.043,0.001,0.059,0.001
Paser,0,1.342,0.003,0.019,0.007,0.055,-
Kutai Barat,0,1.406,0,0.026,0.005,0.056,-
Kutai Kartanegara,0,1.437,0.006,0.04,0.003,0.07,0
Kutai Timur,0,1.472,0.007,0.057,0.01,0.067,0.001
Berau,0,1.391,0.005,0.044,0.004,0.059,0.001
Penajam Paser Utara,0,1.419,0.005,0.05,0.001,0.073,0.001
Mahakam Ulu,0,1.809,0.013,0.009,0.002,0.031,-
Kota Balikpapan,0,1.247,0.001,0.038,0.004,0.063,0.003
Kota Samarinda,0,1.159,0.002,0.056,0.009,0.057,0.002
Kota Bontang,0,1.132,0.003,0.037,0.003,0.05,-
Malinau,0,1.783,0.021,0.035,0.001,0.069,0.002
Bulungan,0,1.371,0.007,0.031,0.002,0.068,0.002
Tana Tidung,0,1.404,0.002,0.051,0.004,0.076,0.001
Nunukan,0,1.428,0.016,0.034,0,0.116,0
Kota Tarakan,0,1.264,0.005,0.038,0.003,0.079,0
Bolaang Mongondow,0,1.923,0.004,0.034,0.014,0.045,-
Minahasa,0,1.771,0.004,0.035,0.016,0.062,-
Kepulauan Sangihe,0,1.663,0.001,0.005,0.001,0.037,-
Kepulauan Talaud,0,1.658,-,0.002,0.001,0.049,-
Minahasa Selatan,0,1.949,0.003,0.025,0.01,0.058,0
Minahasa Utara,0,1.762,0.002,0.024,0.009,0.031,-
Bolaang Mongondow Utara,0,1.718,0.006,0.021,0.01,0.04,-
Siau Tagulandang Biaro,0,1.709,0.002,0.004,-,0.01,-
Minahasa Tenggara,0,1.868,0.001,0.039,0.002,0.041,0
Bolaang Mongondow Selatan,0,1.842,0.001,0.016,0.053,0.015,-
Bolaang Mongondow Timur,0,1.968,0.001,0.01,0.018,0.025,-
Kota Manado,0,1.539,-,0.013,0.007,0.024,0.005
Kota Bitung,0,1.668,0.001,0.024,0.016,0.04,-
Kota Tomohon,0,1.606,0.001,0.015,0.009,0.03,-
Kota Kotamobagu,0,1.763,0.004,0.037,0.024,0.02,0
Banggai Kepulauan,0,2.027,-,0.012,0,0.016,-
Banggai,0,1.744,0.007,0.067,0.02,0.048,0
Morowali,0,1.77,0.004,0.03,0.003,0.054,0.001
Poso,0,1.938,0.013,0.062,0.005,0.06,0.001
Donggala,0,2.13,0.012,0.079,0.034,0.066,0.001
Toli-Toli,0,1.588,0.005,0.069,0.002,0.051,0.001
Buol,0,1.575,0.004,0.109,0.003,0.046,0.003
Parigi Moutong,0,1.744,0.005,0.068,0.009,0.051,0
Tojo Una-Una,0,1.65,0.002,0.023,0.013,0.03,0
Sigi,0,2.173,0.009,0.065,0.019,0.061,-
Banggai Laut,0,2.03,0.002,0.005,0.002,0.01,-
Morowali Utara,0,1.698,0.006,0.078,0.01,0.09,0
Kota Palu,0,1.449,0.003,0.082,0.02,0.046,0.001
Kepulauan Selayar,0,1.77,0.032,0.07,0.069,0.141,0.004
Bulukumba,0,1.879,0.037,0.183,0.019,0.135,0.009
Bantaeng,0,1.633,0.012,0.103,0.042,0.144,0.001
Jeneponto,0,1.936,0.006,0.097,0.003,0.12,0.002
Takalar,0,1.844,0.01,0.135,0.007,0.127,0.001
Gowa,0,1.739,0.012,0.105,0.008,0.138,0
Sinjai,0,1.852,0.014,0.159,0.015,0.12,0.01
Maros,0,1.707,0.008,0.196,0.001,0.116,0.002
Pangkajene dan Kepulauan,0,1.675,0.008,0.123,0.006,0.128,0.002
Barru,0,1.87,0.015,0.055,0.001,0.122,0.003
Bone,0,1.714,0.014,0.116,0.002,0.111,0.003
Soppeng,0,1.754,0.015,0.09,0.002,0.076,0.001
Wajo,0,1.571,0.015,0.104,0.005,0.075,0.007
Sidenreng Rappang,0,1.699,0.012,0.127,0.01,0.069,0.001
Pinrang,0,1.523,0.004,0.142,0.012,0.083,0.002
Enrekang,0,1.749,0.019,0.098,0.012,0.075,0.001
Luwu,0,1.656,0.019,0.08,0.005,0.068,0.001
Tana Toraja,0,2.218,0.005,0.07,0.008,0.027,0.001
Luwu Utara,0,1.844,0.008,0.112,0,0.089,0.001
Luwu Timur,0,1.752,0.007,0.098,0.004,0.064,-
Toraja Utara,0,1.956,0.012,0.035,-,0.02,-
Kota Makasar,0,1.581,0.01,0.176,0.005,0.058,0.002
Kota Parepare,0,1.49,0.004,0.129,0.004,0.055,0.013
Kota Palopo,0,1.555,0.005,0.082,0.004,0.046,0.002
Buton,0,1.728,0.016,0.258,0.051,0.059,0.002
Muna,0,1.861,0.001,0.117,0.134,0.014,-
Konawe,0,1.732,0.004,0.046,0.002,0.067,0.007
