Kabupaten/Regency,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-rata/Average
Kabupaten Bogor,13000,12714,14086,12000,11143,11643,11929,12000,12071,12429,12571,12714,12358
Kabupaten Sukabumi,14350,15550,15556,14167,13111,12722,14400,13556,13500,13520,13400,13722,13974
Kabupaten Cianjur,14238,16556,15608,13100,12700,13418,13736,13783,13783,13817,13683,13708,13986
Kabupaten Bandung,13800,15000,15000,13486,13643,13933,13967,14129,14029,14443,14171,14529,14167
Kabupaten Garut,14409,15813,15714,14714,12643,14229,12643,13857,14000,14071,13167,13250,13954
Kabupaten Tasikmalaya,13550,15125,14750,13250,12625,13063,13863,14175,13238,13275,13100,12975,13582
Kabupaten Ciamis,13371,15000,14592,12992,11675,12025,12225,12883,12675,12942,12425,12550,12952
Kabupaten Kuningan,14071,15257,15186,14057,11143,12014,12386,12500,12829,12843,12771,12857,13160
Kabupaten Cirebon,13175,14813,13657,11713,11463,11791,12370,12250,12300,12367,11875,11956,12432
Kabupaten Majalengka,12878,13350,13000,11167,12144,11756,11567,12400,12611,12611,12611,12167,12340
Kabupaten Sumedang,13167,14417,13500,14167,13333,13117,13133,13167,13067,13033,13000,13000,13342
Kabupaten Indramayu,13325,12188,13871,12900,11630,12090,11917,12675,12435,12885,12695,13015,12602
Kabupaten Subang,12878,13689,13289,12456,11544,12022,12478,12300,12111,11963,11888,12180,12409
Kabupaten Purwakarta,13067,15917,13417,12600,10000,12167,11367,12000,12000,12000,12000,12333,12406
Kabupaten Karawang,13063,14667,14125,13389,12850,12778,12400,13067,13000,12409,11788,12722,13031
Kabupaten Bekasi,12983,13800,14210,12600,11880,12250,12258,13150,13167,12100,11867,12183,12696
Kabupaten Bandung Barat,12600,13425,14250,14200,12988,12350,12650,12675,12425,13150,12700,12950,13030
Kabupaten Pangandaran,13400,16150,14650,13800,11500,12250,13000,12500,13000,13000,13000,13000,13271
Jawa Barat,13508,14587,14427,13083,12199,12440,12743,13010,12952,12988,12756,12898,13123
