Kabupaten/Kota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tahun
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,,2022
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya,2022
Bengkalis,0,1.329,0.007,0.018,0.009,0.06,-,2022
Rokan Hilir,0,1.53,0.002,0.018,0.003,0.05,0.001,2022
Kepulauan Meranti,0,1.434,0.012,0.01,0.002,0.095,0,2022
Kota Pekanbaru,0,1.135,0.004,0.031,0.001,0.036,0,2022
Kota Dumai,0,1.431,0.001,0.019,0.001,0.046,0.001,2022
Kerinci,0,1.802,0.008,0.032,-,0.032,0.001,2022
Merangin,0,1.68,0.007,0.011,0,0.031,-,2022
Sarolangun,0,1.616,0.005,0.032,0,0.069,-,2022
Batang Hari,0,1.538,0.003,0.007,-,0.096,-,2022
Muaro Jambi,0,1.539,0.005,0.044,0.002,0.119,0.003,2022
Tanjung Jabung Timur,0,1.403,0.007,0.034,0.001,0.091,0.001,2022
Tanjung Jabung Barat,0,1.261,0.007,0.019,0.001,0.102,0,2022
Tebo,0,1.57,0.018,0.01,0.001,0.075,0,2022
Bungo,0,1.51,0.007,0.022,0.002,0.054,-,2022
Kota Jambi,0,1.184,0.002,0.039,0.001,0.081,0.001,2022
Kota Sungai Penuh,0,1.599,0.007,0.009,0.003,0.016,0.001,2022
Ogan Komering Ulu,0,1.658,0.007,0.015,0.001,0.113,0,2022
Ogan Komering Ilir,0,1.714,0.026,0.036,0.003,0.102,-,2022
Muara Enim,0,1.621,0.013,0.012,0.001,0.127,0,2022
Lahat,0,2.034,0.004,0.023,0.002,0.1,-,2022
Musi Rawas,0,1.723,0.006,0.027,0.001,0.072,-,2022
Musi Banyuasin,0,1.588,0.016,0.031,0,0.152,-,2022
Banyu Asin,0,1.693,0.02,0.036,0.003,0.153,0.016,2022
Ogan Komering Ulu Selatan,0,1.83,0.001,0.005,0,0.052,-,2022
Ogan Komering Ulu Timur,0,1.575,0.003,0.018,0,0.067,0.002,2022
Ogan Ilir,0,1.484,0.029,0.016,0,0.142,0.006,2022
Empat Lawang,0,1.875,0.008,0.012,0.004,0.094,0.001,2022
Penukal Abab Lematang Ilir,0,1.984,0.026,0.002,0.001,0.172,0.006,2022
Musi Rawas Utara,0,1.835,0.007,0.025,0.001,0.087,-,2022
Kota Palembang,0,1.277,0.006,0.036,0.001,0.144,0.002,2022
Kota Prabumulih,0,1.283,0.003,0.014,0.002,0.069,0.007,2022
Kota Pagar Alam,0,1.615,0.004,0.027,0.004,0.065,0.001,2022
Kota Lubuklinggau,0,1.516,0.002,0.023,0.001,0.057,0,2022
Bengkulu Selatan,0,1.761,0.003,0.03,-,0.033,0.001,2022
Rejang Lebong,0,1.816,0.008,0.027,0.004,0.045,-,2022
Bengkulu Utara,0,1.702,0.003,0.023,0.005,0.045,0,2022
Kaur,0,2.12,0.023,0.048,0.002,0.053,0,2022
Seluma,0,1.657,0.017,0.063,0.004,0.037,0.001,2022
Mukomuko,0,1.698,0.008,0.02,-,0.044,0,2022
Lebong,0,2.202,0.005,0.015,0.002,0.031,0,2022
Kepahiang,0,1.771,0.004,0.031,0.001,0.044,0,2022
Bengkulu Tengah,0,1.851,0.001,0.021,0.006,0.021,-,2022
Kota Bengkulu,0,1.362,0.003,0.042,0.001,0.034,0,2022
Lampung Barat,0,1.895,0.004,0.048,0.006,0.083,-,2022
Tanggamus,0,1.725,0.014,0.015,0.002,0.098,-,2022
Lampung Selatan,0,1.633,0.012,0.031,0.001,0.078,0,2022
Lampung Timur,0,1.621,0.005,0.044,0.007,0.072,-,2022
Lampung Tengah,0,1.578,0.003,0.015,0.002,0.07,0.002,2022
Lampung Utara,0,1.528,0.004,0.015,0,0.087,0,2022
Way Kanan,0,1.672,0.008,0.031,0.001,0.082,0,2022
Tulangbawang,0,1.598,0.01,0.044,0.002,0.047,0.002,2022
Pesawaran,0,1.626,0.002,0.011,0.001,0.09,0,2022
Pringsewu,0,1.542,0.004,0.025,0,0.072,0,2022
Mesuji,0,1.696,0.001,0.019,0.001,0.062,0.001,2022
Tulang Bawang Barat,0,1.596,0.001,0.026,-,0.03,-,2022
Pesisir Barat,0,1.779,-,0.01,0.001,0.029,-,2022
Kota Bandar Lampung,0,1.259,0.001,0.035,0.004,0.069,0.001,2022
Kota Metro,0,1.198,0.002,0.019,0.001,0.039,0.001,2022
Bangka,0,1.438,0.005,0.016,0.001,0.048,-,2022
Belitung,0,1.424,0.001,0.004,-,0.054,-,2022
Bangka Barat,0,1.46,0.008,0.023,0.002,0.051,-,2022
Bangka Tengah,0,1.488,0.024,0.023,0.005,0.059,0,2022
Bangka Selatan,0,1.702,0.005,0.009,-,0.044,-,2022
Belitung Timur,0,1.51,0.007,0.019,0.001,0.065,0,2022
Kota Pangkal Pinang,0,1.272,0.002,0.029,0.003,0.078,0.001,2022
Karimun,0,1.242,0,0.003,0.001,0.039,0.002,2022
Bintan,0,1.259,0.005,0.028,-,0.069,0.001,2022
Natuna,0,1.134,0,0.006,-,0.089,0,2022
Lingga,0,1.319,0.002,0.009,0.005,0.095,0,2022
Kepulauan Anambas,0,1.071,0.001,0.004,0,0.042,0.001,2022
Kota Batam,0,1.298,0.008,0.028,0.004,0.064,0.005,2022
Kota Tanjung Pinang,0,1.004,-,0.009,0.001,0.026,0.001,2022
Kep. Seribu,0,1.676,0,0.005,-,0.048,-,2022
Kota Jakarta Selatan,0,1.341,0.002,0.034,0.001,0.056,0.001,2022
Kota Jakarta Timur,0,1.403,0.004,0.036,0.004,0.066,0.005,2022
Kota Jakarta Pusat,0,1.351,0.004,0.012,0.001,0.041,0.002,2022
Kota Jakarta Barat,0,1.317,0.002,0.029,0.002,0.041,0.002,2022
Kota Jakarta Utara,0,1.38,0.001,0.024,0.002,0.054,0.001,2022
Bogor,0,1.613,0.007,0.018,0.003,0.076,0.002,2022
Sukabumi,0,1.938,0.015,0.035,0.001,0.097,0,2022
Cianjur,0,1.959,0.015,0.027,0.001,0.063,0,2022
Bandung,0,1.465,0.001,0.015,0.002,0.05,0.001,2022
Garut,0,1.592,0.006,0.026,0.001,0.073,0,2022
Tasikmalaya,0,1.75,0.007,0.006,0.001,0.083,0,2022
