Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Gowa,0,1.88,0.025,0.072,0.007,0.131,-
Sinjai,0,1.707,0.025,0.108,0.021,0.112,0.001
Maros,0,1.882,0.005,0.092,0.004,0.112,0
Pangkajene dan Kepulauan,0,2.199,0.021,0.06,0.006,0.155,0.003
Barru,0,1.823,0.01,0.055,0,0.128,0
Bone,0,1.799,0.019,0.098,0.003,0.121,0.002
Soppeng,0,1.769,0.024,0.058,0.005,0.082,0.001
Wajo,0,1.565,0.05,0.074,0.005,0.099,0.011
Sidenreng Rappang,0,1.738,0.007,0.062,0.008,0.047,0.001
Pinrang,0,1.586,0.008,0.056,0.011,0.079,0.004
Enrekang,0,1.747,0.014,0.035,0.004,0.075,0.008
Luwu,0,1.846,0.032,0.046,0.001,0.077,0.003
Tana Toraja,0,2.108,0.011,0.036,0.025,0.037,0
Luwu Utara,0,1.992,0.011,0.106,0.008,0.082,0.003
Luwu Timur,0,1.916,0.01,0.056,0.006,0.048,0.001
Toraja Utara,0,2.1,0.031,0.037,-,0.033,0.001
Kota Makasar,0,1.68,0.005,0.055,0.004,0.072,0.002
Kota Parepare,0,1.664,0.006,0.069,0.014,0.049,0.011
Kota Palopo,0,1.597,0.001,0.062,0.005,0.049,0.003
Buton,0,1.844,0.015,0.09,0.046,0.053,-
Muna,0,1.893,0,0.051,0.118,0.036,0.001
Konawe,0,1.882,0.001,0.07,0.001,0.073,0.006
Kolaka,0,1.89,0.015,0.041,0.001,0.085,0
Konawe Selatan,0,1.885,0.002,0.06,0.002,0.067,-
Bombana,0,1.966,0.005,0.064,0.007,0.078,0.005
Wakatobi,0,1.908,0.004,0.016,0.004,0.022,-
Kolaka Utara,0,1.839,0.012,0.09,0.004,0.082,0.001
Buton Utara,0,2.063,0.004,0.049,0.006,0.03,0
Konawe Utara,0,1.7,0.001,0.068,0.007,0.047,0.002
Kolaka Timur,0,1.844,0.003,0.037,0,0.082,0
Konawe Kepulauan,0,1.882,0.002,0.041,0.004,0.061,0
Muna Barat,0,1.944,0.001,0.046,0.088,0.028,0
Buton Tengah,0,1.753,0.001,0.016,0.04,0.032,0
Buton Selatan,0,1.807,0.003,0.076,0.117,0.018,0.014
Kota Kendari,0,1.688,0.01,0.055,0.009,0.046,0.005
Kota Baubau,0,1.675,0.012,0.018,0.009,0.021,0.005
Boalemo,0,1.92,0.003,0.123,0.168,0.043,-
Gorontalo,0,1.81,0.001,0.048,0.076,0.018,-
Pohuwato,0,1.881,0,0.041,0.047,0.017,-
Bone Bolango,0,1.634,0,0.031,0.066,0.02,-
Gorontalo Utara,0,1.898,0.004,0.066,0.058,0.023,0
Kota Gorontalo,0,1.58,0.002,0.036,0.013,0.014,-
Majene,0,2.052,0.01,0.055,0,0.124,0.001
Polewali Mandar,0,2.125,0.014,0.092,0.004,0.112,0
Mamasa,0,2.179,0.01,0.011,0.002,0.046,0.001
Mamuju,0,1.914,0.018,0.087,0.008,0.077,0
Mamuju Utara,0,1.944,0.008,0.08,0.005,0.112,0
Mamuju Tengah,0,1.903,0.008,0.041,0.004,0.082,0.001
Maluku Tenggara Barat,0,1.575,0,0.09,0.003,0.017,0.002
Maluku Tenggara,0,1.672,0.001,0.006,-,0.021,-
Maluku Tengah,0,1.514,0.002,0.041,0.005,0.072,-
Buru,0,1.604,0.028,0.011,0,0.054,0
Kepulauan Aru,0,1.41,0.001,0.004,0.001,0.009,-
Seram Bagian Barat,0,1.455,0.005,0.019,0,0.048,0.002
Seram Bagian Timur,0,1.222,0.002,0.007,0,0.071,-
Maluku Barat Daya,0,1.727,0.003,0.09,0.597,0.056,0.001
Buru Selatan,0,1.427,0.001,0.013,0.005,0.055,-
Kota Ambon,0,1.498,0.001,0.012,0.003,0.029,-
Kota Tual,0,1.892,0.003,0.004,0.005,0.026,0.003
Halmahera Barat,0,1.863,0,0.013,-,0.042,0
Halmahera Tengah,0,1.39,0.001,0.028,0,0.063,-
Kepulauan Sula,0,2.093,0,0.038,0.002,0.014,-
Halmahera Selatan,0,1.699,-,0.032,0,0.04,-
Halmahera Utara,0,1.37,0,0.008,0.002,0.047,-
Halmahera Timur,0,1.289,0.002,0.02,0.008,0.051,-
Pulau Morotai,0,1.493,0.004,0.059,0.003,0.085,0
Pulau Taliabu,0,2.013,0.003,0.021,0.001,0.031,-
Kota Ternate,0,1.514,-,0.001,0,0.022,0
Kota Tidore Kepulauan,0,1.477,0.001,0.024,0.004,0.03,0.001
Fakfak,0,1.487,0.007,0.023,0.005,0.068,0
Kaimana,0,1.398,0.006,0.028,0,0.057,0.001
Teluk Wondama,0,1.271,-,0.021,0.002,0.024,-
Teluk Bintuni,0,1.343,0.006,0.018,0.003,0.055,0
Manokwari,0,1.522,0,0.018,0.002,0.029,0.001
Manokwari Selatan,0,1.511,-,0.016,0.003,0.044,-
Pegunungan Arfak,0,1.406,0.006,0.06,0.002,0.005,-
Raja Ampat,0,1.569,0.001,0.009,0.001,0.093,-
Sorong,0,1.49,0,0.022,0.002,0.08,-
Sorong Selatan,0,0.714,0.001,0.003,-,0.018,-
Maybrat,0,1.292,0.028,0.025,0,0.018,0
Tambrauw,0,1.259,-,0.002,0.001,0.024,-
Kota Sorong,0,1.509,0,0.014,0.001,0.044,0.004
Jayapura,0,1.379,0.001,0.053,0.002,0.077,0.002
Kepulauan Yapen,0,1.308,0,0.002,-,0.031,-
Biak Numfor,0,1.461,-,0.005,0,0.016,-
Sarmi,0,1.442,-,0.005,-,0.033,-
Keerom,0,1.3,-,0.022,0,0.055,0.001
Waropen,0,1.315,0.001,0.011,0.001,0.037,-
Supiori,0,1.788,0.001,0.008,0.001,0.063,-
Mamberamo Raya,0,0.938,-,-,-,-,-
Kota Jayapura,0,1.396,-,0.02,0.002,0.069,0.009
Merauke,0,1.469,0.002,0.039,0.002,0.061,0
Boven Digoel,0,1.106,0.002,0.018,-,0.012,0.001
Mappi,0,0.999,0,0.002,-,0.011,-
Asmat,0,1.123,0.008,0.003,-,0.014,-
Mimika,0,1.414,-,0.015,0.001,0.034,0
Dogiyai,0,1.103,0.001,0.078,0.002,0.002,-
Deiyai,0,0.757,-,0.092,0.001,-,-
Nabire,0,1.586,0,0.03,0.001,0.062,0.003
Paniai,0,0.907,-,0.071,-,-,-
Intan Jaya,0,0.643,-,0.102,0.002,0.042,-
Puncak,0,0.174,-,-,-,-,-
Puncak Jaya,0,1.009,0.032,-,-,-,-
Nduga,0,0.428,0.002,0.083,0.004,-,-
Jayawijaya,0,1.123,0.001,0.06,0.002,0.002,0.001
Lanny Jaya,0,1.294,0.001,0.25,0,0.001,-
Tolikara,0,0.881,-,0.145,0.003,-,-
Mamberamo Tengah,0,0.45,0.002,0.288,0.001,-,-
Yalimo,0,1.161,0.019,0.121,-,0.005,-
Yahukimo,0,0.249,0.001,0.194,0.003,-,-
Pegunungan Bintang,0,0.259,-,-,-,0,-
