Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Tanjung Jabung Timur,0,1.512,0.028,0.042,0.002,0.126,-
Tanjung Jabung Barat,0,1.388,0.013,0.031,0.002,0.118,0.002
Tebo,0,1.608,0.01,0.011,0.001,0.072,-
Bungo,0,1.435,0.016,0.043,0,0.04,0
Kota Jambi,0,1.134,0.003,0.035,0.001,0.083,0.003
Kota Sungai Penuh,0,1.49,0.006,0.007,0,0.029,0
Ogan Komering Ulu,0,1.635,0.005,0.02,0.001,0.101,0.001
Ogan Komering Ilir,0,1.621,0.015,0.039,0.002,0.145,0.002
Muara Enim,0,1.523,0.015,0.033,0,0.131,0.001
Lahat,0,1.974,0.004,0.023,0.003,0.106,0.001
Musi Rawas,0,1.793,0.008,0.028,0,0.102,-
Musi Banyuasin,0,1.651,0.01,0.018,0.002,0.14,0.002
Banyu Asin,0,1.562,0.017,0.019,0,0.152,0.005
Ogan Komering Ulu Selatan,0,1.954,0.004,0.008,0.001,0.041,-
Ogan Komering Ulu Timur,0,1.526,0.007,0.025,0.002,0.09,0.003
Ogan Ilir,0,1.426,0.027,0.015,0,0.156,0.001
Empat Lawang,0,1.956,0.013,0.039,0.002,0.11,-
Penukal Abab Lematang Ilir,0,1.873,0.006,0.02,0.002,0.141,0.001
Musi Rawas Utara,0,1.811,0.005,0.032,0,0.12,0
Kota Palembang,0,1.255,0.009,0.03,0,0.145,0.009
Kota Prabumulih,0,1.351,0.005,0.029,0.001,0.099,0.01
Kota Pagar Alam,0,1.666,0.001,0.018,0,0.072,0
Kota Lubuklinggau,0,1.591,0.005,0.04,0.002,0.068,0
Bengkulu Selatan,0,1.794,0.008,0.052,-,0.049,0.002
Rejang Lebong,0,1.798,0.004,0.03,0.008,0.064,-
Bengkulu Utara,0,1.65,0.009,0.053,0.005,0.065,-
Kaur,0,2.081,0.009,0.037,-,0.061,-
Seluma,0,1.712,0.007,0.026,0.002,0.046,-
Mukomuko,0,1.68,0.001,0.032,0.001,0.039,0
Lebong,0,2.176,0.003,0.021,0,0.038,-
Kepahiang,0,1.841,0.006,0.049,0.002,0.074,0.001
Bengkulu Tengah,0,1.786,0.002,0.027,0.001,0.034,0.001
Kota Bengkulu,0,1.323,0.001,0.049,0.001,0.052,0
Lampung Barat,0,1.878,0.01,0.01,0.001,0.108,0.002
Tanggamus,0,1.758,0.007,0.027,0.002,0.105,0
Lampung Selatan,0,1.588,0.005,0.034,0.005,0.096,0
Lampung Timur,0,1.6,0.012,0.021,0.002,0.08,0
Lampung Tengah,0,1.599,0.008,0.034,0.001,0.088,0.003
Lampung Utara,0,1.543,0.003,0.023,0.002,0.085,0.001
Way Kanan,0,1.702,0.007,0.029,0.003,0.114,-
Tulangbawang,0,1.648,0.001,0.016,0.003,0.05,-
Pesawaran,0,1.667,0.005,0.017,0.004,0.105,0
Pringsewu,0,1.564,0.004,0.015,0.003,0.098,0
Mesuji,0,1.711,0.001,0.02,0.001,0.069,0.003
Tulang Bawang Barat,0,1.613,0.001,0.01,0.001,0.053,0.001
Pesisir Barat,0,1.818,0.002,0.006,0.001,0.034,0
Kota Bandar Lampung,0,1.267,0.003,0.032,0.005,0.061,0.003
Kota Metro,0,1.236,0.003,0.03,0.001,0.037,0
Bangka,0,1.412,0.005,0.058,0.005,0.068,-
Belitung,0,1.431,0.001,0.003,0.006,0.047,-
Bangka Barat,0,1.415,0.004,0.02,0.001,0.067,-
Bangka Tengah,0,1.464,0.023,0.032,0.001,0.067,0
Bangka Selatan,0,1.661,0.014,0.013,0.002,0.058,-
Belitung Timur,0,1.552,0.002,0.017,0.002,0.05,0
Kota Pangkal Pinang,0,1.247,0,0.035,0.004,0.065,-
Karimun,0,1.307,0.007,0.014,0.002,0.055,0.001
Bintan,0,1.326,0.005,0.02,0.001,0.083,0
Natuna,0,1.32,0.008,0.011,0.001,0.143,0.001
Lingga,0,1.403,0.001,0.004,0.001,0.082,-
Kepulauan Anambas,0,1.14,0.002,0.006,0.001,0.089,0.001
Kota Batam,0,1.226,0.004,0.037,0.001,0.065,0.003
Kota Tanjung Pinang,0,1.125,0.003,0.026,0.002,0.043,0.001
Kep. Seribu,0,1.674,0.003,0.007,-,0.027,-
Kota Jakarta Selatan,0,1.326,0.006,0.037,0.002,0.057,0
Kota Jakarta Timur,0,1.331,0.006,0.023,0.004,0.065,0
Kota Jakarta Pusat,0,1.263,0.001,0.017,0,0.031,0.002
Kota Jakarta Barat,0,1.336,0.001,0.041,0.002,0.046,0.002
Kota Jakarta Utara,0,1.349,0.009,0.028,0.003,0.063,0.001
Bogor,0,1.55,0.005,0.017,0.001,0.062,0.001
Sukabumi,0,1.886,0.021,0.059,0.002,0.087,0.001
Cianjur,0,1.929,0.011,0.04,0.002,0.076,0
Bandung,0,1.44,0.004,0.023,0.004,0.058,0
Garut,0,1.608,0.013,0.034,0.005,0.093,0
Tasikmalaya,0,1.683,0.006,0.007,0.003,0.086,0.001
Ciamis,0,1.786,0.017,0.034,0.003,0.114,0
Kuningan,0,1.446,0.013,0.019,0.004,0.078,0.002
Cirebon,0,1.481,0.006,0.014,0.001,0.04,0
Majalengka,0,1.545,0.004,0.007,0.004,0.06,0
Sumedang,0,1.647,0.014,0.016,0,0.08,0.001
Indramayu,0,1.573,0.003,0.019,0,0.026,0.001
