Kabupaten/Regency,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-rata/Average
1 Kab. Bogor,9657,9700,9729,9614,9300,9371,9457,9714,9986,10071,10200,10443,9770
2 Kab. Sukabumi,10073,10192,10013,9700,9636,9200,9464,9521,10171,10169,10100,10631,9903
3 Kab. Cianjur,11280,11247,11313,11412,11000,11160,11227,11253,11267,10833,11107,11236,11206
4 Kab. Bandung,10729,10607,10607,10800,10786,10657,10843,10786,10840,10914,10971,11100,10786
5 Kab. Garut,10686,10760,10760,10820,10710,10710,10710,10710,10710,10710,10710,10710,10726
6 Kab. Tasikmalaya,9944,9922,9956,9856,9780,9678,9700,9722,9922,9922,10489,10711,9974
7 Kab. Ciamis,9250,9283,9329,8429,8843,8700,8779,9029,9836,9933,9833,10250,9283
8 Kab. Kuningan,9383,9325,9650,9411,9513,9350,9620,9533,9843,9929,9929,10000,9616
9 Kab. Cirebon,8744,9256,8938,8783,8558,8192,8400,8705,9010,9114,9263,10108,8912
10 Kab. Majalengka,9200,9163,8650,8338,7788,7988,8088,8763,9300,9375,9363,10150,8847
11 Kab. Sumedang,12043,12056,12000,11857,12020,12050,12000,12000,11818,12018,12020,12080,11997
12 Kab. Indramayu,9591,9390,9510,8780,9070,8820,8860,9370,9770,9810,10480,10840,9525
13 Kab. Subang,9600,9250,9289,9378,9472,9350,9578,9911,10656,9600,9689,9989,9647
14 Kab. Purwakarta,9475,9675,9400,8800,8575,8325,8675,8625,9050,9300,9575,10400,9156
15 Kab. Karawang,9717,9438,9138,9136,9532,9586,9682,9943,9962,9696,10127,10189,9683
16 Kab. Bekasi,9757,9550,9483,9300,8900,8600,9000,9300,9567,9583,9833,10100,9419
17 Kab. Bandung Barat,9250,9300,9400,9500,9600,9600,9600,9600,9550,9550,9575,9725,9521
18 Kab. Pangandaran,9900,9875,9875,8250,8400,8400,8150,8450,8900,9450,9750,9750,9138
Jawa Barat,9924,10018,9956,9705,9667,9599,9699,9900,10178,10101,10290,10570,9966
